iter	Passed	Remaining
0	138	138513
1	143	71437
2	147	49099
3	151	37770
4	155	30847
5	158	26196
6	161	22889
7	164	20368
8	167	18389
9	170	16864
10	173	15601
11	177	14577
12	179	13651
13	182	12870
14	185	12185
15	188	11572
16	191	11060
17	194	10587
18	196	10141
19	198	9743
20	201	9397
21	204	9091
22	207	8795
23	209	8529
24	212	8286
25	215	8075
26	218	7891
27	222	7723
28	225	7565
29	229	7410
30	231	7242
31	234	7098
32	237	6969
33	240	6838
34	243	6727
35	247	6618
36	250	6521
37	254	6437
38	257	6338
39	261	6277
40	264	6190
41	268	6116
42	271	6037
43	274	5964
44	277	5887
45	279	5803
46	282	5731
47	285	5661
48	287	5580
49	290	5521
50	293	5456
51	295	5393
52	299	5350
53	302	5293
54	305	5254
55	309	5214
56	312	5162
57	315	5116
58	325	5190
59	328	5148
60	331	5100
61	333	5052
62	336	5010
63	339	4965
64	341	4917
65	344	4874
66	347	4844
67	349	4790
68	352	4756
69	355	4727
70	358	4690
71	360	4651
72	363	4615
73	366	4587
74	368	4540
75	370	4502
76	372	4470
77	375	4441
78	378	4409
79	381	4381
80	384	4358
81	386	4328
82	389	4299
83	391	4274
84	394	4251
85	397	4228
86	400	4202
87	403	4183
88	406	4160
89	409	4138
90	412	4122
91	415	4104
92	418	4082
93	421	4061
94	424	4043
95	427	4021
96	428	3987
97	431	3970
98	433	3949
99	436	3926
100	438	3898
101	441	3890
102	444	3871
103	447	3852
104	449	3833
105	452	3814
106	454	3795
107	457	3780
108	461	3770
109	463	3752
110	466	3736
111	469	3719
112	471	3701
113	474	3686
114	477	3674
115	479	3657
116	482	3640
117	484	3623
118	487	3608
119	490	3597
120	492	3580
121	495	3565
122	498	3552
123	501	3541
124	504	3528
125	507	3519
126	510	3509
127	513	3496
128	516	3484
129	519	3473
130	521	3462
131	524	3449
132	527	3436
133	529	3424
134	532	3413
135	535	3403
136	538	3392
137	541	3380
138	544	3371
139	546	3359
140	550	3350
141	552	3340
142	555	3329
143	558	3318
144	560	3307
145	563	3297
146	566	3286
147	569	3276
148	571	3265
149	574	3255
150	575	3235
151	577	3224
152	580	3213
153	583	3203
154	586	3194
155	589	3187
156	591	3178
157	595	3171
158	597	3161
159	600	3153
160	604	3148
161	607	3139
162	609	3130
163	619	3157
164	622	3148
165	624	3138
166	626	3127
167	629	3117
168	632	3110
169	635	3101
170	638	3095
171	649	3128
172	653	3122
173	655	3113
174	658	3104
175	661	3095
176	664	3087
177	666	3079
178	670	3073
179	672	3063
180	674	3053
181	677	3043
182	680	3036
183	683	3029
184	686	3023
185	689	3017
186	692	3008
187	694	3000
188	698	2995
189	700	2988
190	703	2980
191	707	2976
192	711	2974
193	715	2970
194	718	2966
195	721	2958
196	724	2951
197	726	2944
198	730	2939
199	733	2934
200	737	2930
201	740	2927
202	743	2920
203	747	2917
204	750	2911
205	753	2906
206	756	2899
207	759	2893
208	763	2888
209	766	2883
210	769	2877
211	772	2872
212	783	2894
213	786	2888
214	789	2881
215	792	2878
216	796	2872
217	799	2868
218	802	2861
219	805	2855
220	808	2849
221	811	2843
222	814	2837
223	817	2831
224	819	2824
225	822	2818
226	826	2814
227	829	2808
228	832	2803
229	835	2796
230	838	2791
231	857	2839
232	860	2834
233	863	2827
234	866	2820
235	869	2813
236	872	2808
237	875	2801
238	877	2793
239	880	2787
240	882	2780
241	886	2775
242	889	2772
243	892	2766
244	895	2759
245	898	2753
246	901	2747
247	903	2740
248	906	2733
249	908	2726
250	911	2719
251	913	2712
252	916	2705
253	919	2700
254	921	2693
255	924	2686
256	927	2680
257	930	2675
258	932	2669
259	935	2662
260	938	2657
261	940	2650
262	943	2644
263	946	2637
264	948	2631
265	951	2625
266	954	2619
267	956	2613
268	959	2607
269	962	2602
270	965	2597
271	968	2591
272	971	2586
273	973	2580
274	977	2576
275	980	2571
276	983	2566
277	986	2561
278	988	2555
279	991	2549
280	994	2543
281	996	2538
282	999	2532
283	1002	2527
284	1005	2522
285	1008	2517
286	1011	2512
287	1014	2508
288	1017	2504
289	1021	2499
290	1023	2494
291	1026	2488
292	1029	2483
293	1032	2478
294	1034	2473
295	1037	2467
296	1040	2461
297	1042	2455
298	1045	2450
299	1047	2444
300	1050	2439
301	1053	2434
302	1055	2428
303	1058	2422
304	1060	2417
305	1063	2412
306	1066	2407
307	1069	2402
308	1071	2396
309	1074	2391
310	1077	2386
311	1079	2381
312	1082	2375
313	1084	2369
314	1087	2363
315	1089	2358
316	1093	2356
317	1096	2352
318	1099	2347
319	1102	2343
320	1105	2337
321	1107	2332
322	1110	2327
323	1112	2321
324	1115	2316
325	1117	2310
326	1120	2305
327	1123	2301
328	1126	2298
329	1130	2294
330	1133	2290
331	1135	2284
332	1138	2280
333	1141	2276
334	1144	2271
335	1147	2267
336	1150	2263
337	1152	2257
338	1155	2253
339	1159	2249
340	1161	2244
341	1164	2239
342	1166	2234
343	1169	2229
344	1171	2224
345	1174	2220
346	1177	2216
347	1180	2211
348	1183	2206
349	1185	2202
350	1188	2197
351	1190	2192
352	1193	2187
353	1196	2183
354	1199	2178
355	1201	2173
356	1228	2213
357	1233	2211
358	1236	2208
359	1239	2204
360	1242	2199
361	1245	2194
362	1247	2189
363	1250	2184
364	1252	2179
365	1255	2175
366	1258	2170
367	1260	2165
368	1263	2161
369	1267	2157
370	1270	2154
371	1273	2150
372	1276	2145
373	1278	2140
374	1281	2135
375	1284	2131
376	1286	2126
377	1289	2121
378	1292	2117
379	1295	2113
380	1297	2108
381	1300	2104
382	1303	2100
383	1306	2095
384	1309	2091
385	1312	2087
386	1315	2084
387	1318	2079
388	1321	2075
389	1323	2070
390	1326	2065
391	1329	2061
392	1331	2056
393	1334	2052
394	1337	2047
395	1339	2043
396	1342	2038
397	1345	2034
398	1348	2030
399	1350	2026
400	1354	2022
401	1357	2019
402	1361	2016
403	1363	2012
404	1367	2009
405	1370	2005
406	1373	2000
407	1375	1996
408	1378	1991
409	1381	1987
410	1384	1983
411	1386	1979
412	1389	1974
413	1392	1970
414	1395	1966
415	1398	1962
416	1400	1958
417	1404	1954
418	1407	1951
419	1410	1947
420	1413	1943
421	1416	1939
422	1419	1935
423	1422	1931
424	1425	1928
425	1428	1924
426	1431	1921
427	1434	1917
428	1437	1913
429	1438	1907
430	1441	1902
431	1444	1899
432	1447	1895
433	1450	1891
434	1452	1886
435	1455	1882
436	1457	1878
437	1461	1874
438	1464	1871
439	1467	1868
440	1471	1865
441	1474	1861
442	1477	1858
443	1481	1855
444	1484	1851
445	1487	1847
446	1490	1843
447	1493	1839
448	1495	1835
449	1499	1832
450	1502	1828
451	1504	1824
452	1507	1820
453	1511	1817
454	1514	1813
455	1517	1810
456	1520	1806
457	1522	1802
458	1525	1798
459	1528	1794
460	1531	1790
461	1534	1786
462	1537	1783
463	1540	1779
464	1543	1776
465	1546	1772
466	1549	1768
467	1552	1765
468	1557	1762
469	1560	1760
470	1563	1756
471	1566	1751
472	1568	1747
473	1571	1744
474	1574	1740
475	1577	1736
476	1580	1732
477	1583	1728
478	1586	1725
479	1589	1721
480	1592	1717
481	1595	1714
482	1598	1711
483	1602	1708
484	1605	1705
485	1609	1701
486	1611	1698
487	1614	1694
488	1617	1690
489	1620	1687
490	1624	1683
491	1627	1680
492	1630	1676
493	1633	1673
494	1636	1669
495	1638	1665
496	1641	1661
497	1645	1658
498	1648	1655
499	1652	1652
500	1655	1648
501	1657	1644
502	1660	1640
503	1663	1636
504	1666	1633
505	1669	1629
506	1672	1626
507	1675	1622
508	1677	1618
509	1680	1614
510	1683	1611
511	1686	1607
512	1689	1603
513	1692	1600
514	1695	1596
515	1698	1593
516	1702	1590
517	1705	1586
518	1708	1583
519	1711	1579
520	1714	1576
521	1717	1572
522	1720	1568
523	1723	1565
524	1725	1561
525	1729	1558
526	1732	1555
527	1735	1551
528	1738	1547
529	1741	1544
530	1744	1540
531	1747	1537
532	1750	1533
533	1753	1530
534	1757	1527
535	1760	1524
536	1763	1520
537	1766	1516
538	1769	1513
539	1771	1509
540	1774	1505
541	1777	1502
542	1780	1498
543	1782	1494
544	1785	1490
545	1788	1487
546	1791	1483
547	1795	1480
548	1798	1477
549	1801	1473
550	1804	1470
551	1807	1466
552	1810	1463
553	1813	1459
554	1815	1456
555	1818	1452
556	1821	1448
557	1824	1445
558	1827	1441
559	1830	1438
560	1833	1434
561	1836	1430
562	1838	1427
563	1841	1423
564	1845	1420
565	1847	1416
566	1850	1412
567	1853	1409
568	1855	1405
569	1858	1401
570	1861	1398
571	1864	1395
572	1867	1391
573	1870	1388
574	1873	1384
575	1875	1380
576	1878	1377
577	1881	1373
578	1883	1369
579	1886	1365
580	1889	1362
581	1892	1359
582	1895	1355
583	1897	1351
584	1901	1348
585	1904	1345
586	1906	1341
587	1910	1338
588	1912	1334
589	1915	1331
590	1918	1327
591	1922	1325
592	1925	1321
593	1929	1318
594	1932	1315
595	1936	1312
596	1941	1310
597	1945	1307
598	1948	1304
599	1952	1301
600	1956	1298
601	1959	1295
602	1962	1292
603	1966	1289
604	1969	1285
605	1972	1282
606	1975	1279
607	1979	1276
608	1984	1273
609	1988	1271
610	1991	1267
611	1994	1264
612	1997	1261
613	2000	1257
614	2003	1254
615	2006	1250
616	2009	1247
617	2012	1244
618	2016	1241
619	2019	1237
620	2022	1234
621	2026	1231
622	2029	1228
623	2033	1225
624	2035	1221
625	2039	1218
626	2042	1215
627	2045	1211
628	2048	1208
629	2051	1204
630	2054	1201
631	2057	1198
632	2060	1194
633	2063	1191
634	2066	1187
635	2070	1184
636	2072	1181
637	2075	1177
638	2078	1174
639	2081	1171
640	2085	1167
641	2088	1164
642	2092	1161
643	2095	1158
644	2098	1155
645	2101	1151
646	2104	1148
647	2107	1144
648	2110	1141
649	2113	1138
650	2116	1134
651	2118	1130
652	2121	1127
653	2124	1124
654	2127	1120
655	2130	1117
656	2132	1113
657	2136	1110
658	2139	1106
659	2141	1103
660	2145	1100
661	2147	1096
662	2150	1093
663	2153	1089
664	2157	1086
665	2160	1083
666	2162	1079
667	2165	1076
668	2167	1072
669	2170	1069
670	2172	1065
671	2175	1061
672	2178	1058
673	2182	1055
674	2185	1052
675	2188	1048
676	2190	1045
677	2193	1041
678	2196	1038
679	2198	1034
680	2201	1031
681	2204	1028
682	2207	1024
683	2210	1021
684	2218	1020
685	2221	1016
686	2223	1013
687	2227	1009
688	2229	1006
689	2232	1003
690	2235	999
691	2237	996
692	2240	992
693	2242	988
694	2245	985
695	2248	982
696	2252	979
697	2254	975
698	2257	972
699	2260	968
700	2263	965
701	2266	962
702	2269	958
703	2272	955
704	2275	952
705	2278	948
706	2281	945
707	2284	942
708	2286	938
709	2288	934
710	2291	931
711	2294	927
712	2296	924
713	2298	920
714	2301	917
715	2304	914
716	2307	910
717	2310	907
718	2312	903
719	2316	900
720	2322	898
721	2325	895
722	2328	892
723	2331	888
724	2333	885
725	2336	881
726	2339	878
727	2341	875
728	2344	871
729	2347	868
730	2350	864
731	2352	861
732	2355	858
733	2358	854
734	2361	851
735	2364	848
736	2367	844
737	2370	841
738	2372	837
739	2375	834
740	2378	831
741	2381	828
742	2384	824
743	2386	821
744	2389	817
745	2391	814
746	2393	810
747	2396	807
748	2398	803
749	2400	800
750	2403	796
751	2406	793
752	2408	790
753	2411	786
754	2414	783
755	2416	779
756	2418	776
757	2421	773
758	2424	769
759	2427	766
760	2430	763
761	2432	759
762	2435	756
763	2437	752
764	2440	749
765	2443	746
766	2446	743
767	2448	739
768	2451	736
769	2454	733
770	2456	729
771	2460	726
772	2463	723
773	2465	720
774	2468	716
775	2472	713
776	2475	710
777	2477	707
778	2480	703
779	2483	700
780	2485	696
781	2488	693
782	2491	690
783	2494	687
784	2496	683
785	2499	680
786	2502	677
787	2504	673
788	2506	670
789	2509	667
790	2513	663
791	2516	660
792	2519	657
793	2522	654
794	2525	651
795	2527	647
796	2530	644
797	2532	641
798	2535	637
799	2539	634
800	2542	631
801	2545	628
802	2547	625
803	2550	621
804	2553	618
805	2556	615
806	2560	612
807	2563	609
808	2566	605
809	2569	602
810	2572	599
811	2575	596
812	2577	592
813	2580	589
814	2582	586
815	2585	582
816	2588	579
817	2590	576
818	2593	573
819	2596	569
820	2598	566
821	2602	563
822	2606	560
823	2609	557
824	2612	554
825	2615	550
826	2618	547
827	2621	544
828	2623	541
829	2626	538
830	2629	534
831	2633	531
832	2636	528
833	2639	525
834	2642	522
835	2645	518
836	2649	515
837	2652	512
838	2656	509
839	2659	506
840	2662	503
841	2666	500
842	2668	496
843	2670	493
844	2673	490
845	2676	487
846	2678	483
847	2681	480
848	2684	477
849	2686	474
850	2689	470
851	2692	467
852	2695	464
853	2697	461
854	2700	458
855	2703	454
856	2706	451
857	2709	448
858	2712	445
859	2715	442
860	2718	438
861	2721	435
862	2723	432
863	2726	429
864	2728	425
865	2731	422
866	2734	419
867	2738	416
868	2740	413
869	2743	410
870	2746	406
871	2749	403
872	2752	400
873	2755	397
874	2758	394
875	2762	390
876	2766	387
877	2769	384
878	2772	381
879	2775	378
880	2778	375
881	2781	372
882	2785	369
883	2788	365
884	2791	362
885	2794	359
886	2798	356
887	2802	353
888	2807	350
889	2812	347
890	2815	344
891	2818	341
892	2822	338
893	2826	335
894	2829	332
895	2833	328
896	2836	325
897	2839	322
898	2843	319
899	2846	316
900	2850	313
901	2853	310
902	2857	306
903	2859	303
904	2862	300
905	2865	297
906	2868	294
907	2872	290
908	2875	287
909	2877	284
910	2880	281
911	2883	278
912	2886	275
913	2889	271
914	2892	268
915	2895	265
916	2899	262
917	2902	259
918	2905	256
919	2908	252
920	2911	249
921	2914	246
922	2917	243
923	2920	240
